Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-January-2026,340.85,341.00,336.10,337.10,338.112601106618099289,2707167,62016,915327276.00,1916329,70.79,4.90,-3.75
8-January-2026,341.50,344.95,339.00,340.90,341.149952590153019368,2691424,62312,918179170.00,1573681,58.47,5.95,-0.60
7-January-2026,342.85,344.50,339.35,341.35,341.843261413649455119,2056507,57713,703003060.00,1243018,60.44,5.15,-1.50
6-January-2026,350.05,350.85,337.90,342.45,343.903694564095594229,3855421,84934,1325893526.00,2288478,59.36,12.95,-7.60
5-January-2026,350.15,353.90,346.30,349.70,350.690698953984034959,3273277,60359,1147907799.00,1794226,54.81,7.60,-0.45
2-January-2026,360.45,360.45,345.35,350.15,349.599611392159171252,8128503,159687,2841721490.00,4670558,57.46,15.10,-10.30
1-January-2026,402.25,402.30,362.70,363.95,372.979950520647292456,11884149,198130,4432549306.00,5444000,45.81,39.60,-38.30
31-December-2025,401.05,403.70,400.65,403.00,402.845670738712518668,365582,18913,147273126.00,203389,55.63,3.05,1.95
30-December-2025,401.85,403.45,400.40,400.60,401.380397599072236482,412174,7841,165438564.00,289668,70.28,3.05,-1.25
29-December-2025,403.45,404.60,400.00,402.40,400.075821737168431070,45895849,17868,18361819503.00,44766436,97.54,4.60,-1.05
26-December-2025,405.10,407.20,403.65,404.30,404.716778536121717731,425049,11178,172024462.00,317626,74.73,3.55,-0.80
24-December-2025,407.05,409.10,405.45,406.65,407.235189548043149390,1608273,28000,654945360.00,1093108,67.97,3.65,-0.40
23-December-2025,401.80,408.90,401.80,407.65,405.211671524604800168,609312,12190,246900334.00,413610,67.88,7.10,5.85
22-December-2025,401.10,403.65,401.00,402.55,402.741422366224284784,565424,10373,227719666.00,439517,77.73,2.65,1.45
19-December-2025,400.95,402.95,400.35,401.10,401.987263225659097501,989497,6847,397765191.00,865520,87.47,2.60,0.15
18-December-2025,399.95,402.00,399.75,400.20,401.008915508021390374,1051875,28058,421811253.00,616355,58.60,2.25,0.25
17-December-2025,401.65,403.00,399.30,399.95,400.439605546128734529,4011014,13073,1606168864.00,3725879,92.89,3.70,-1.70
16-December-2025,401.00,405.65,401.00,401.70,403.702116411468568774,622327,9715,251234727.00,368998,59.29,4.65,0.70
15-December-2025,399.65,403.35,399.65,402.30,401.769127205577293841,491708,11639,197553094.00,336056,68.34,3.70,2.65
12-December-2025,402.55,403.85,400.00,400.50,401.150520895530875570,703404,13523,282170881.00,555437,78.96,3.85,-2.05
11-December-2025,403.10,404.00,401.20,403.05,402.619695695817296011,1251248,30159,503777089.00,646444,51.66,2.80,-0.05
10-December-2025,400.85,404.50,400.85,403.10,403.447435862429445746,512726,22385,206857990.00,277808,54.18,3.65,2.25
9-December-2025,402.35,404.50,400.10,400.85,403.251690760406170064,619248,7235,249712803.00,517566,83.58,4.40,-1.50
8-December-2025,404.55,405.25,400.70,402.15,403.758506408332271103,729597,7536,294580995.00,571893,78.38,4.55,-2.40
5-December-2025,403.05,405.35,401.80,404.80,403.958270726330374438,598309,12464,241691869.00,490502,81.98,3.55,1.75
4-December-2025,400.25,403.40,399.05,403.05,402.146278311612463324,2453631,19761,986718575.00,1711731,69.76,4.35,2.80
3-December-2025,401.35,402.20,398.90,400.55,400.550671062469867866,1385564,19577,554988590.00,1150897,83.06,3.30,-0.80
2-December-2025,401.15,405.40,400.50,401.05,402.035269531852207129,408653,15386,164292919.00,285942,69.97,4.90,-0.10
1-December-2025,402.35,405.50,398.30,404.40,402.897736518338200024,1222939,32358,492719355.00,836011,68.36,7.20,2.05
28-November-2025,404.00,404.75,402.55,404.40,403.780859351272550567,1317040,7375,531795543.00,1168544,88.72,2.20,0.40
27-November-2025,403.25,405.55,402.00,403.95,403.525364386100012620,1323253,29884,533966149.00,518714,39.20,3.55,0.70
26-November-2025,401.00,404.10,401.00,402.25,402.707391059524458249,385371,18636,155191750.00,242979,63.05,3.10,1.25
25-November-2025,404.00,404.50,400.10,400.70,402.277181830643336000,313693,12138,126191536.00,191324,60.99,4.40,-3.30
24-November-2025,410.95,410.95,402.75,403.60,405.231283951305122990,179485,4714,72732937.00,106879,59.55,8.20,-7.35
21-November-2025,405.00,408.40,404.45,407.80,406.936900448141975667,447626,9069,182155537.00,340040,75.97,3.95,2.80
20-November-2025,403.55,407.00,403.20,405.50,405.527360842975613023,1179441,24365,478295596.00,205525,17.43,3.80,1.95
19-November-2025,404.60,405.00,402.70,403.55,403.702619479225440881,166598,7939,67256049.00,87525,52.54,2.30,-1.05
18-November-2025,407.20,408.50,404.50,405.75,405.541003617866274957,294096,8781,119267987.00,198358,67.45,4.00,-1.45
17-November-2025,411.00,411.00,406.05,407.10,407.916071825132451381,126084,4544,51431690.00,70356,55.80,4.95,-3.90
14-November-2025,404.25,408.80,400.30,407.85,404.493946684630930613,571505,11915,231170313.00,306797,53.68,8.50,3.60
13-November-2025,406.40,407.80,404.60,405.75,406.082411770271548869,1056900,26115,429188501.00,274026,25.93,3.20,-0.65
12-November-2025,407.55,407.80,405.60,407.05,406.819775280898876404,360450,12514,146638188.00,205713,57.07,2.20,-0.50
11-November-2025,406.55,407.85,404.60,406.85,406.268317350913994605,347048,9941,140994607.00,240592,69.33,3.25,0.30
10-November-2025,404.00,407.00,403.90,405.65,405.421480327017198479,914325,12840,370686995.00,719498,78.69,3.10,1.65
7-November-2025,405.45,409.10,403.60,404.00,405.613972044294004889,757484,7662,307246094.00,586178,77.38,5.50,-1.45
6-November-2025,409.20,413.10,406.45,407.30,407.560462542228532363,1904518,16161,776206237.00,809589,42.51,6.65,-1.90
4-November-2025,413.95,414.65,408.35,408.60,409.669507518751730697,664472,11342,272213917.00,530478,79.83,6.30,-5.35
3-November-2025,420.25,421.70,413.40,413.95,416.642333776069383482,454748,7162,189467268.00,313677,68.98,8.30,-6.30
31-October-2025,419.80,426.50,418.35,420.25,423.231523281085122886,1144792,16025,484512062.00,775541,67.75,8.15,0.45
30-October-2025,421.60,421.85,416.15,418.70,418.935677681672650791,1707852,30687,715480135.00,832896,48.77,5.70,-2.90
29-October-2025,417.05,422.00,416.05,421.60,419.323735179209708987,661655,20151,277447646.00,393971,59.54,5.95,4.55
28-October-2025,420.00,421.65,416.00,417.95,417.760207730820661131,450198,12569,188074810.00,271789,60.37,5.65,-2.05
27-October-2025,417.00,422.50,416.60,420.35,420.522638730014375676,844482,17773,355123799.00,574335,68.01,5.90,3.35
24-October-2025,415.85,418.00,413.40,417.10,415.087216073135581294,1648664,14002,684339350.00,1481941,89.89,4.60,1.25
23-October-2025,415.00,420.25,413.35,415.85,417.551944190248661688,2147295,33261,896607202.00,1203164,56.03,6.90,0.85
21-October-2025,414.45,414.45,412.40,412.85,413.175443718476608510,99331,5318,41041130.00,62550,62.97,2.05,-1.60
20-October-2025,412.00,414.80,411.30,412.95,412.401045144740886783,660387,8693,272344289.00,509571,77.16,3.50,0.95
17-October-2025,405.05,413.75,405.05,412.10,411.045632075102401041,1124012,15802,462020223.00,815342,72.54,8.70,7.05
16-October-2025,400.20,405.70,399.70,405.05,403.515999660033784142,1694286,24723,683671509.00,823233,48.59,6.00,4.85
15-October-2025,398.65,400.90,397.30,400.05,399.789341189204544063,408357,14397,163256776.00,79702,19.52,3.60,1.40
14-October-2025,399.70,401.00,396.25,396.70,398.075652927612391860,183443,12320,73024192.00,96678,52.70,4.75,-3.00
13-October-2025,399.55,400.95,398.60,399.10,399.602666382080752595,496628,18295,198453873.00,251208,50.58,2.35,-0.45
10-October-2025,398.15,403.90,398.15,402.80,402.080830342548351873,4087277,17973,1643415730.00,3498090,85.58,5.75,4.65
9-October-2025,399.70,401.40,399.00,399.90,399.955461712609783580,1065847,13130,426291329.00,424041,39.78,2.40,0.20
8-October-2025,400.05,401.80,398.00,399.70,398.873314185643069148,3648830,15711,1455420915.00,3295241,90.31,3.80,-0.35
7-October-2025,401.35,402.75,399.60,399.85,400.247335043011035306,1065308,12966,426386688.00,871085,81.77,3.15,-1.50
6-October-2025,402.75,403.95,399.65,400.80,400.946533742505504324,528221,16682,211788379.00,283577,53.69,4.30,-1.95
3-October-2025,403.60,405.40,402.30,404.35,404.099040047497567178,629927,12962,254552896.00,439289,69.74,3.10,0.75
1-October-2025,401.90,406.15,399.65,405.65,404.142623813283410246,1381859,16909,558468122.00,694816,50.28,6.50,3.75
30-September-2025,406.50,407.15,400.40,401.60,402.504870937645778261,257240,5354,103540353.00,150741,58.60,6.75,-4.90
29-September-2025,408.05,408.05,403.25,406.45,405.689832780021198132,342483,7846,138941871.00,157035,45.85,4.80,-1.60
26-September-2025,399.35,405.40,399.35,405.05,403.041491385640965016,998159,15001,402299492.00,562949,56.40,6.05,5.70
25-September-2025,400.85,402.80,398.10,400.20,400.260997342262660964,1035091,30443,414306556.00,496394,47.96,4.70,-0.65
24-September-2025,403.50,404.10,400.80,401.25,401.330086716400955332,5827502,27234,2338751883.00,4597701,78.90,3.30,-2.25
23-September-2025,407.10,407.90,402.20,403.35,403.904274016226278652,1192017,28116,481460761.00,979374,82.16,5.70,-3.75
22-September-2025,410.35,411.20,406.10,407.10,407.682837098295404116,1025287,19265,417991913.00,851613,83.06,5.10,-3.25
19-September-2025,411.95,412.50,409.10,410.15,410.150643161426973511,1344608,15764,551491836.00,1179356,87.71,3.40,-1.80
18-September-2025,411.80,412.95,410.10,411.95,411.781986989708577528,943407,20972,388478009.00,498410,52.83,2.85,0.15
